GeneID	GSM1206234	GSM1206235	GSM1206236	GSM1206237	GSM1206238	GSM1206239	GSM1206240	GSM1206241	GSM1206242	GSM1206243
100170226	0	0	0	0	1	0	0	0	0	0
100170225	0	1	0	0	1	0	0	0	0	0
100131137	1	10	2	8	0	16	1	11	2	6
64100	90	0	87	0	57	0	110	0	58	0
56344	13	436	17	493	7	473	19	401	7	232
8605	164	2860	156	3017	92	2976	199	2534	93	1445
106144526	24	313	28	345	14	357	36	279	12	138
3978	6012	1317	6378	1546	3997	1492	7693	1269	5005	760
107985293	89	19	66	19	49	19	81	22	21	3
374920	718	1385	701	1482	608	1427	1053	1497	783	995
22900	2350	1649	1947	1645	1349	1628	2698	1449	1559	888
100505812	384	115	336	73	240	76	484	91	247	40
105372429	16	4	14	2	7	3	13	2	11	1
163071	294	65	250	60	183	66	353	45	224	40
93233	141	108	179	144	106	124	188	131	130	51
2014	6812	524	6553	568	4409	576	8900	502	5007	307
55260	733	568	774	619	546	683	903	516	751	372
23546	13	92	10	105	5	93	12	76	11	35
10945	13765	3553	12928	3982	8962	3774	16852	3162	10366	2060
107984140	223	54	192	54	148	71	244	32	187	22
2906	486	484	577	520	321	504	664	441	607	341
83743	3260	1403	3438	1370	2218	1409	4078	1266	2878	915
3770	358	258	295	262	171	244	395	202	255	133
9266	6936	5313	7271	5790	4424	5452	8730	4769	5184	2734
114783	155	4489	175	4374	117	4360	186	3870	321	4484
6820	174	50	189	50	118	56	222	51	162	31
54854	38	16	47	22	39	20	65	19	77	16
171169	2	2	6	8	7	1	4	2	15	3
6141	36744	13006	37690	13693	26521	13641	50847	11830	34926	8462
56848	469	1908	551	1747	405	1764	606	1748	831	1853
1628	690	2548	792	2624	512	2514	896	2281	960	2420
770	812	23156	880	24986	536	23783	1013	20913	681	12220
653677	51	462	56	452	39	426	76	364	47	587
126147	94	167	85	184	75	144	107	166	100	103
105372431	41	78	34	77	23	115	45	97	24	55
2524	136	342	103	354	71	355	135	270	54	115
105447645	41	105	48	113	34	91	55	91	28	31
284358	327	465	309	503	202	529	398	474	238	260
54922	1947	671	1989	623	1293	637	2546	518	2042	547
284359	31	137	42	128	23	151	54	125	16	55
2523	133	722	169	779	107	764	203	693	129	423
26291	2	1	2	1	4	0	4	0	2	1
587	1930	1136	2176	1206	1451	1174	2426	1049	2136	770
105372432	291	302	275	314	219	338	345	281	197	173
51171	204	1219	203	1191	140	1171	298	1012	171	641
57664	897	269	1193	308	779	290	1284	283	1282	206
23645	3567	2602	3813	2809	2212	2612	4640	2257	3084	1625
7288	46	96	34	104	21	91	43	79	21	40
4924	10548	10394	12420	11329	8073	10635	14054	9264	10359	5864
100874085	1404	1136	1600	1322	981	1261	1836	1128	1097	600
27294	62	105	75	99	60	111	83	101	59	75
581	4540	1186	4827	1301	3168	1223	6235	1138	3612	649
2512	173548	63512	183562	70734	116058	66304	229591	55762	110869	30561
2997	6269	2761	6558	3008	4090	3004	7751	2470	4911	1433
10856	7136	3296	9037	3942	5517	3369	10082	3025	7357	2006
102466738	0	1	2	1	2	1	2	2	3	1
3972	38	4	47	3	41	7	78	6	61	1
101059948	45	1	41	2	25	2	51	3	33	3
1082	6	0	16	1	15	1	18	0	11	1
100170228	0	0	0	0	0	0	0	0	0	0
114336	4	0	5	1	3	1	5	0	9	2
114335	0	0	2	1	1	0	1	0	1	1
100126780	2	0	0	0	0	0	2	0	1	0
93659	2	0	3	0	3	1	7	0	7	1
94115	2	1	4	1	3	0	7	1	13	0
94027	46	5	62	4	42	1	78	8	73	1
4909	28	1	42	2	20	1	40	1	22	0
3743	12	1	18	1	11	4	14	3	13	0
6625	10242	13174	9952	13748	6671	13067	12877	11759	11728	10325
64130	216	767	276	759	188	793	350	643	280	559
55150	37	130	48	118	35	120	71	93	55	102
8541	1074	6825	1354	7165	951	7074	1463	6227	1527	5086
3270	514	132	507	132	327	136	605	127	332	58
54795	739	575	966	644	619	637	1036	562	1119	515
107985340	7	1	6	3	1	1	6	1	6	0
28968	541	102	473	117	311	107	663	93	278	46
100422979	23	1	15	1	10	2	25	3	7	0
951	630	340	701	373	480	357	778	315	482	184
8463	2791	325	2820	418	1819	350	3623	276	1916	173
27120	78	5	84	8	55	3	110	3	48	2
101928295	75	52	73	45	68	67	101	59	62	28
147872	42	361	66	415	36	466	55	312	34	211
113091	0	3	0	2	1	1	1	3	8	13
100507003	38	42	19	41	22	46	40	40	25	37
57030	223	60423	220	64012	155	62407	325	52611	196	33848
55011	4801	3157	5062	3485	3305	3404	6572	2791	3416	1498
126133	773	388	1055	406	730	395	1183	372	2260	477
2323	274	133	295	127	226	136	389	109	331	66
23521	112609	35677	127322	38100	79864	36519	157169	32575	94487	19550
26819	106	29	124	47	75	39	133	30	84	21
26818	43	6	45	7	24	6	56	5	29	2
26817	82	15	85	12	42	11	100	10	61	5
26816	203	24	180	35	127	29	230	20	102	13
6205	86191	26945	80413	28762	53865	28368	113596	23617	49782	12904
84546	227	54	191	39	119	49	300	48	132	20
406942	0	0	0	0	0	0	1	0	0	0
2217	1481	1154	2038	1217	1311	1150	2152	1013	2029	791
57333	268	300	401	336	247	313	408	253	521	250
51070	1753	1395	1967	1493	1246	1468	2460	1414	2137	1119
5639	61	27	71	34	29	39	67	40	53	15
57479	1911	3928	2151	4129	1574	4227	2321	3534	3009	3463
6237	1480	653	2080	672	1229	661	2173	580	1719	401
58506	2670	5843	3455	5772	2240	5736	3817	5335	5229	5536
3661	3416	2020	3913	2286	2521	2188	4717	1874	3408	1261
83596	1974	231	2245	230	1605	208	2962	222	2292	137
3276	11230	5550	12852	6304	8026	5781	15058	5024	9643	3069
100847074	5	3	2	2	3	2	2	1	4	1
199800	288	102	358	118	230	89	400	97	347	91
126129	266	4802	279	5193	199	5102	367	4453	170	2579
60385	43	30	50	23	32	19	68	21	45	13
105372434	16	8	9	9	7	21	13	6	7	5
160	5361	10946	6636	11509	4124	10951	7013	9901	7869	8456
102465479	0	2	0	3	0	1	1	1	0	0
80199	1042	1918	1078	2006	689	1906	1345	1672	1002	1280
105372435	43	118	42	108	35	103	47	109	117	154
81857	2576	2474	2597	2411	1778	2543	3191	2163	3369	2021
102465480	155	179	183	184	113	169	241	146	108	75
100506033	769	431	685	420	436	485	925	386	509	229
53635	5339	9715	6544	9956	4498	9974	7487	8550	5504	5311
100616313	7	13	8	11	12	13	10	13	9	6
101928378	1924	3245	2475	3631	1610	3550	2729	3074	2114	1840
11284	1647	1215	1769	1277	1347	1205	2087	1063	1885	815
84335	3082	2286	3151	2385	2030	2310	3822	2124	3336	1534
79735	1798	4956	1909	5464	1299	4999	2335	4579	1882	3530
100616314	6	17	14	24	14	20	15	25	20	23
259307	281	137	355	138	207	134	370	105	359	88
23636	7246	3106	7823	3381	4627	2998	8793	2707	6718	1793
22809	2748	922	2888	995	1865	964	3669	845	2489	540
100616483	184	66	245	80	168	86	302	66	185	34
114132	6	63	6	52	1	69	2	46	6	28
400709	17	116	27	88	16	87	36	74	10	41
51231	2438	1848	2374	1998	1517	2031	3068	1570	1523	868
25888	1837	853	1542	887	1053	946	2117	689	1170	445
400710	16	93	12	89	9	103	17	66	13	54
100169956	0	0	0	0	0	0	0	0	0	0
100191063	0	0	0	0	0	0	0	0	0	0
100169952	0	0	0	0	0	0	0	0	0	0
100169957	0	0	0	0	0	0	0	0	0	0
100169953	0	0	0	0	0	0	1	0	0	0
100169958	0	0	0	0	0	0	0	0	0	0
100169955	0	0	0	0	0	0	0	0	0	0
100170216	0	0	0	0	0	0	0	0	0	0
100169954	0	0	0	0	0	0	0	0	0	0
100170224	0	2	1	0	0	1	1	1	1	0
105372436	2	16	0	10	0	16	0	8	0	3
100170217	0	2	1	0	0	1	1	1	1	0
100170227	0	0	0	1	0	0	0	0	0	0
126123	2	9	1	5	2	7	1	5	1	2
79784	1273	5345	1571	5520	1035	5373	1806	4602	1765	3846
3748	744	8045	742	8534	500	7997	914	6881	601	4753
105372437	48	46	24	44	29	44	42	28	16	15
256236	39	405	28	405	15	453	43	328	16	200
9476	186	130	197	163	112	155	230	123	78	59
7376	1881	3488	2404	3454	1517	3496	2583	3110	3308	2894
5424	2982	474	4167	492	2748	482	4130	424	6751	405
6689	49	10	52	8	40	16	80	4	54	2
4606	79	49	86	58	54	44	97	59	74	36
112703	58	356	59	440	45	376	75	341	272	402
284361	3410	6381	3717	6765	2570	6453	4366	5574	3877	4393
126119	126	316	173	306	119	319	209	299	686	606
554235	56	970	43	883	28	869	43	762	48	717
94030	107	5307	170	5120	135	5045	189	4565	441	6966
100126781	0	0	0	0	0	0	0	0	0	1
84258	70	2308	105	2369	68	2249	110	2027	104	1619
342918	7	87	7	102	1	111	7	85	68	144
50944	131	20227	134	20614	93	19804	178	17440	123	12660
6320	203	182	264	139	227	166	354	146	577	341
2854	2	0	0	0	0	4	1	3	0	1
105372440	8	7	6	6	8	5	6	5	8	1
105372439	17	18	19	16	12	16	25	6	10	5
93650	31	27	31	26	23	21	41	20	18	11
84798	6262	578	7720	616	5153	684	8847	494	6267	334
692203	86	4	108	5	94	9	126	3	85	2
692202	10	3	13	0	8	1	18	3	15	1
692204	60	2	52	2	34	1	55	2	31	1
284365	8	17	12	11	5	12	9	9	12	16
3816	313	1	341	8	208	4	469	2	199	0
55554	3	1	5	1	4	0	8	2	4	0
105372441	0	0	0	0	0	0	1	0	1	1
354	0	3	1	1	0	1	0	2	0	1
3817	55	2	54	0	50	2	73	4	37	2
606293	7	2	1	1	1	1	6	2	4	2
9622	1	29	0	19	1	15	1	11	1	7
25818	5	62	12	78	5	62	8	45	1	45
5653	224	5917	268	6585	186	6300	335	5311	188	2747
105372442	28	691	39	733	24	772	38	664	16	352
5650	17	774	12	885	7	798	10	691	9	410
11202	31	28	42	23	23	33	45	16	18	13
284366	1	4	0	0	0	0	2	4	0	1
5655	56	211	50	236	23	201	70	193	59	159
11012	690	7	785	6	480	8	956	10	585	7
43849	13	0	20	0	9	0	20	2	8	0
26085	110	1	80	1	58	1	120	1	79	0
107985341	2	0	0	0	3	0	1	0	2	0
43847	51	81	69	84	46	109	66	77	63	50
90353	268	285	310	291	202	323	393	239	439	195
27180	82	152	100	185	63	165	96	134	61	92
27036	169	49	157	43	133	48	204	32	130	19
101928517	41	23	41	18	33	21	57	17	29	22
284367	7	17	9	19	5	18	8	16	6	9
102465873	0	0	0	0	0	0	0	0	0	0
945	839	83	771	86	522	91	1086	79	575	30
107985327	3	0	1	0	1	1	1	1	1	0
284369	0	2	0	0	1	2	2	1	0	0
105372444	5	0	2	3	1	1	6	1	4	0
107985326	0	0	1	0	1	1	1	0	0	0
402665	449	4222	590	4519	314	4253	688	3731	420	2222
147645	585	461	525	470	346	456	658	377	451	283
2109	5564	3492	7474	3622	4961	3575	8399	3160	6353	2044
125875	149	107	144	113	107	103	186	106	151	81
4818	38	42	37	47	15	39	45	38	28	25
3982	6	0	9	2	8	1	6	0	3	0
105372446	48	8	59	8	21	8	46	8	18	2
147646	47	1	39	1	19	2	50	3	29	4
89790	75	363	62	416	49	417	78	339	65	194
100129083	34	52	26	64	25	56	42	42	24	32
27181	10	274	7	286	6	317	10	234	3	174
729767	2	0	1	0	1	0	1	0	0	0
89858	2	0	1	2	0	0	1	0	6	0
946	36	10	23	6	11	18	33	9	22	5
7728	1331	1682	1205	1840	835	1926	1790	1456	918	888
729975	58	130	48	175	42	152	72	152	46	84
8778	34	75	28	80	18	80	48	48	32	44
100049587	34	210	31	293	17	230	39	191	20	112
102238594	48	95	52	107	22	87	62	80	30	37
147650	448	888	458	982	275	893	506	840	369	527
407056	1	2	1	1	0	1	0	0	0	0
406887	0	0	0	0	0	0	0	0	0	0
406910	0	1	1	1	0	1	0	2	1	1
3036	10	172	21	191	12	211	21	160	29	182
2357	16	531	18	596	9	565	29	471	17	291
2358	16	26	6	41	9	39	14	33	2	20
105372448	0	0	0	0	0	0	0	0	1	0
2359	42	31	42	37	27	32	61	28	30	13
84765	1168	1533	946	1591	731	1621	1300	1300	716	700
101928571	53	40	44	64	47	60	49	55	30	30
65251	703	688	597	758	407	727	803	602	479	367
79898	374	295	233	310	180	329	385	271	208	151
101669766	9	124	14	148	13	150	16	138	4	66
59348	487	585	343	575	276	623	584	479	304	298
284370	424	1315	331	1376	271	1443	540	1088	308	785
80110	1421	1215	1136	1250	793	1276	1648	1083	972	801
112268244	86	141	76	126	61	130	127	100	70	75
9668	1123	1041	914	1041	685	1109	1329	930	666	599
284371	1692	1721	1440	1785	1026	1851	2072	1524	1094	877
90317	1169	509	874	550	616	546	1280	477	802	314
162962	464	708	385	735	279	727	511	675	281	337
5518	17238	31652	18403	34605	11310	32859	22470	27581	13934	17512
102466984	6	3	2	6	3	5	3	2	2	1
105372449	21	47	22	58	5	53	20	50	8	21
90321	1858	878	1583	908	1116	969	2234	791	1169	431
693228	7	5	4	1	3	4	4	2	6	1
147657	1534	617	1275	654	922	694	1845	531	1160	390
162963	378	459	315	482	200	567	412	397	253	271
400713	938	1060	751	1089	528	1016	1117	888	528	471
102724105	303	206	222	190	158	216	365	190	191	111
84436	1198	1723	1022	1785	709	1916	1440	1530	778	895
147658	34	228	40	258	22	258	44	183	35	122
147660	335	307	272	256	200	313	365	245	213	145
388558	1530	1037	1260	1072	884	1072	1682	930	600	362
55762	841	445	706	436	467	492	968	395	531	252
7696	303	179	248	193	169	195	369	161	183	130
55769	4032	4750	3183	4902	2300	5083	4393	3981	2539	2734
81856	1143	1132	823	1219	618	1217	1221	1002	435	514
105372452	0	4	1	11	0	13	0	5	0	6
105372451	7	80	5	88	6	87	6	58	1	35
162966	932	699	685	721	492	792	1062	625	596	356
7576	1609	803	1308	807	804	822	1743	658	1013	426
90333	1242	759	1036	756	737	753	1311	648	853	434
162967	2798	2249	2179	2294	1593	2588	3299	2111	1420	1131
388559	735	264	585	270	445	312	940	229	525	143
100529240	376	60	323	69	238	57	488	42	178	21
399669	336	32	288	31	212	35	430	23	153	10
125893	637	392	511	381	393	414	760	340	403	210
79986	376	1735	288	1797	235	1768	371	1439	256	916
105372453	4	24	6	9	2	18	3	20	4	7
147664	9	26	4	16	7	23	7	19	6	13
100271846	7	9	6	4	1	3	15	3	2	3
90338	3189	2424	2662	2450	1855	2368	3691	2037	2056	1418
55786	458	2193	423	2275	281	2324	584	1950	355	1166
84671	1005	1358	824	1395	566	1538	1183	1258	675	756
79788	273	188	222	213	158	239	282	189	162	97
390963	412	398	330	359	245	384	540	309	242	176
342926	107	246	115	213	75	254	153	210	86	116
317701	1	7	0	2	0	5	2	1	0	2
317703	1	0	0	0	0	0	0	0	0	0
646508	1	0	0	0	0	0	1	1	0	1
112401	0	0	0	0	0	0	0	0	0	0
107987270	0	0	1	1	1	0	0	0	1	0
91664	992	578	844	594	517	522	1128	500	643	285
107987264	173	88	131	77	89	82	217	68	105	44
170958	1041	551	779	567	658	542	1133	462	725	294
91661	1084	397	849	425	562	415	1203	325	611	196
110116772	1061	450	838	481	631	509	1197	438	688	254
147804	871	485	783	534	506	525	948	476	510	264
388561	1045	400	812	416	631	481	1192	396	688	246
126017	849	143	691	142	469	189	1001	143	550	91
55422	1957	3836	1773	4036	1165	3954	2310	3262	1407	2107
284379	12	1	9	1	3	2	15	0	5	0
503834	4	4	2	4	4	4	4	0	2	3
107985342	0	0	0	0	0	0	0	0	0	0
574458	0	0	0	0	0	0	0	0	0	0
574459	0	0	0	0	0	0	0	0	0	0
100302255	0	0	0	0	0	0	0	0	0	0
574460	0	0	0	0	0	0	0	0	0	0
574461	0	0	0	0	0	0	0	0	0	0
574462	0	0	0	0	0	0	0	0	0	0
574463	0	0	0	0	0	0	0	0	0	0
574464	0	0	0	0	0	0	0	0	0	0
574465	0	0	0	0	0	0	0	0	0	0
574466	0	0	0	0	0	0	0	0	0	0
100302265	0	0	0	0	0	0	0	0	0	0
574467	0	0	0	0	0	0	0	0	0	0
574468	0	0	0	0	0	0	0	0	0	0
574469	0	0	0	0	0	0	0	0	0	0
574470	0	0	0	0	0	0	0	0	0	0
574471	0	0	0	0	0	0	0	0	0	0
574472	0	0	0	0	0	0	0	0	0	0
107985346	1	0	0	0	0	0	0	0	0	0
574473	0	0	0	0	0	0	0	0	0	0
574474	0	0	0	0	0	0	0	0	0	0
574475	0	0	0	0	0	0	0	0	0	0
574476	0	0	0	0	0	0	0	0	0	0
574477	0	0	0	0	0	0	0	0	0	0
574478	0	0	0	0	0	0	0	0	0	0
574479	0	0	0	0	0	0	0	0	0	0
574480	1	0	0	0	0	0	0	0	0	0
574481	0	0	0	0	0	0	0	0	0	0
574482	0	0	0	0	0	0	0	0	0	0
574483	0	0	0	0	0	0	0	0	0	0
574484	0	0	0	0	0	0	0	0	0	0
574485	0	0	0	0	0	0	0	0	0	0
574486	0	0	0	0	0	0	0	0	0	0
574487	0	0	0	0	0	0	0	0	0	0
574488	0	0	0	0	0	0	0	0	0	0
574489	0	0	0	0	0	0	0	0	0	0
574490	0	0	0	0	0	0	0	0	0	0
574491	0	0	0	0	0	0	0	0	0	0
574492	0	0	0	0	0	0	0	0	0	0
574493	0	0	0	0	0	0	0	0	0	0
574494	0	0	0	0	0	0	0	0	0	0
574495	0	0	0	0	0	0	0	0	0	0
574496	0	0	0	0	0	0	0	0	0	0
574497	0	0	0	0	0	0	0	0	0	0
574498	0	0	0	0	0	0	0	0	0	0
100302205	0	0	0	0	0	0	0	0	0	0
574499	0	0	0	0	0	0	0	0	0	0
574500	0	0	0	0	0	0	0	0	0	0
442916	0	0	0	0	0	0	0	0	0	0
100616185	0	0	0	0	0	0	0	0	0	0
442917	0	0	0	0	0	0	0	0	0	0
442918	0	0	0	0	0	0	0	0	0	0
91662	49	13	47	14	42	14	67	10	32	6
105372457	33	7	27	7	23	6	26	6	25	6
91663	5956	5142	6622	5583	4368	5384	7941	4793	4996	2620
5582	38	8184	65	8928	38	8506	55	7065	53	5150
59284	369	8159	414	8391	266	7819	452	7191	401	5290
59283	326	8354	294	8737	222	8543	388	7648	242	4287
100126325	0	1	0	1	0	1	1	1	1	17
59285	95	28	81	23	64	35	124	24	113	16
284415	4	10	3	24	2	20	0	17	1	3
441864	0	0	0	0	0	0	0	0	0	0
126014	131	140	120	124	74	146	204	146	129	107
4696	1339	3235	2007	3548	1261	3325	2091	2762	1294	1707
29844	907	1667	1025	1769	659	1670	1293	1561	911	1072
26121	2750	2191	3007	2376	2126	2352	3732	2052	3377	1572
4849	3597	3311	3940	3482	2457	3329	4604	2839	3486	1988
102724273	46	57	57	67	39	47	60	41	26	15
79165	533	591	544	583	385	557	752	546	563	391
147798	654	131	814	136	519	137	1008	125	721	58
112268246	1144	1023	1008	1141	684	1131	1484	947	841	635
79143	2584	3447	3059	3755	1978	3535	3536	3114	4462	3230
79042	2698	839	2647	967	1823	911	3426	768	2621	606
6203	36074	15033	45295	16198	31087	16175	56190	14430	36021	8631
11025	76	123	90	156	68	155	97	136	59	66
107985279	25	12	19	6	15	11	18	11	6	3
79168	18	83	26	50	13	57	25	59	17	31
10990	4	84	7	83	2	90	3	92	5	40
10288	6	69	5	97	7	77	4	73	5	42
100616171	0	0	0	0	0	0	0	0	0	0
353514	20	29	21	13	13	21	18	20	14	14
23547	11	93	9	103	5	114	11	75	4	49
3903	1195	637	1237	705	769	655	1552	496	930	365
57348	247	12434	324	13301	222	12639	339	11044	355	9368
104355426	406	248	426	264	271	269	544	251	233	112
114823	14819	21604	16629	22908	10118	20904	17669	18280	15100	13762
94059	980	921	1042	1008	546	815	1292	767	761	478
148170	39	26	49	28	36	25	65	18	85	33
3904	19	15	17	16	12	19	28	13	11	12
105372460	6	0	9	1	6	0	13	0	3	0
90011	14	18	27	7	17	10	31	7	18	4
107985347	3	0	2	0	0	2	5	3	0	0
105372461	1	0	0	0	0	0	0	0	0	0
11027	237	126	245	134	131	118	275	119	165	64
11024	13	66	13	90	8	86	11	78	6	48
10859	48	249	45	232	19	235	49	195	39	140
102466251	0	0	0	0	0	0	0	0	0	0
11006	108	353	122	381	76	386	146	328	80	164
102724290	3	8	2	5	0	2	4	5	3	1
79166	1	1	0	2	1	0	2	0	3	0
115653	0	0	0	0	0	0	0	0	0	0
3804	1	0	0	2	0	0	0	0	1	3
3802	0	0	0	1	0	1	0	3	0	1
101928804	0	0	0	0	0	0	0	1	0	0
3805	1	1	2	5	4	3	3	0	1	0
3811	0	1	0	1	0	0	0	1	1	1
3809	0	1	1	0	0	1	0	2	0	0
3812	3	0	0	1	0	2	0	0	0	0
2204	2	41	2	36	4	29	2	28	1	21
9437	42	0	32	0	19	2	39	1	12	0
199713	99	0	77	2	58	4	133	1	62	1
55655	1664	210	1538	239	926	227	1982	175	1043	112
